Table_Reference_Name,Table_History_Name,MySQL_Table,Variable_Name,Variable_Temporal,Variable_Type_Original,Variable_Type,Variable_dType,Selected
hesIp,HesIp,HesIp,hesid,0,STR,ID,U32,1
hesIp,HesIp,HesIp,Admidate,0,STR,ID,U10,0
,HesIp,HesIp,constant,0,INT,ID,i4,1
hesIp,HesIp,HesIp,label,0,INT,TARGET,i4,1
hesIp,HesIp,HesIp,readmiGap_avg__trigger,1,INT,CONTINUOUS,f4,1
hesIp,HesIp,HesIp,mainspefRecoded_15,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,mainspefRecoded_freq1__trigger_15,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,triggerStartAge,0,INT,CATEGORICAL,i4,1
hesIp,HesIp,HesIp,admimeth_acute_freq__delta,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,admimeth_acute_freq__365days__delta,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,spellOpertn_freq__90days__delta,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,posopdur_avg__trigger,1,INT,CONTINUOUS,f4,1
hesIp,HesIp,HesIp,gender_2,0,INT,CATEGORICAL,i4,1
hesIp,HesIp,HesIp,mainspefRecoded_12,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,mainspefRecoded_freq1__trigger_12,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,epidurRecoded_avg,1,INT,CONTINUOUS,f4,1
hesIp,HesIp,HesIp,charlsonIndex_avg,1,INT,CONTINUOUS,f4,1
hesIp,HesIp,HesIp,mainspefRecoded_09,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,mainspefRecoded_freq1__trigger_09,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,readmiGap_avg,1,INT,CONTINUOUS,f4,1
hesIp,HesIp,HesIp,epidur_maxAvg__trigger,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,admimeth_acute_freq__90days__delta,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,ethnosRecoded_0,0,INT,CATEGORICAL,i4,1
hesIp,HesIp,HesIp,mainspefRecoded_11,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,mainspefRecoded_freq1__trigger_11,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,posopdur_avg,1,INT,CONTINUOUS,f4,1
hesIp,HesIp,HesIp,charlsonIndex_max__365days,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,preopdur_avg__trigger,1,INT,CONTINUOUS,f4,1
hesIp,HesIp,HesIp,ethnosRecoded_1,0,INT,CATEGORICAL,i4,1
hesIp,HesIp,HesIp,mainspefRecoded_10,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,mainspefRecoded_freq1__trigger_10,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,reference_freq__90days__sum,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,admimeth_elective_freq__delta,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,preopdur_avg,1,INT,CONTINUOUS,f4,1
hesIp,HesIp,HesIp,mainspefRecoded_27,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,mainspefRecoded_freq1__trigger_27,1,INT,CONTINUOUS,f4,1
hesIp,HesIp,HesIp,posopdur_avg__365days,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,diagRisk_9_external_freq__90days__sum,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,intmanigRecoded_other_freq__90days,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,mainspef_uniques_freq__trigger,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,mainspefRecoded_01,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,mainspefRecoded_freq1__trigger_01,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,epidur_maxAvg__365days,0,INT,CATEGORICAL,i4,1
hesIp,HesIp,HesIp,diagCat_3_freq__90days__sum,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,diagCci_06_cpd_freq__trigger,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,mainspefRecoded_28,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,mainspefRecoded_freq1__trigger_28,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,diagCat_5_freq__90days__sum,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,mainspefRecoded_03,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,mainspefRecoded_freq1__trigger_03,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,diagRisk_3_blood_freq__90days__sum,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,spellOpertn_freq__365days__delta,1,INT,CONTINUOUS,i4,1
hesIp,HesIp,HesIp,mainspefRecoded_19,1,INT,CONTINUOUS,i4,1
