varName,mysqlCategory,varNameCategory,varNameSubCategory,definition,ICD-10,Feature (MySQL),Similar,Combine,naValues,nullReplace,naReplace,varType,varTypeDetailed,varContinuous,varLevels,varLabels,realLabels,varOrdered,tables_hesids,tables_inpatient,tables_inpatientModel03,tables_ver2Cross,tables_ver2Long,tables_ver2Trigger,tables_ver2Future365,tables_parr,tables_parrTrigger,dummy,mysqlVarType,mysqlDefault,mysqlToDo,rank (party::cforest),abs(rank),perc_ratio(abs(rank))
__index,Admin.,ID,Admission,NA,NA,,FALSE,NA,NA,0,NA,numeric,id,F,NA,NA,NA,F,,1,1,,,,,,,,int(11),,-,,,
admidate,Admin.,Admission,Date,NA,NA,,FALSE,NA,NA,,NA,date,date,T,"as.Date(as.Date(c('1995-01-01', '1995-04-01', '1995-07-01', '1995-10-01', '1996-01-01', '1996-04-01', '1996-07-01', '1996-10-01', '1997-01-01', '1997-04-01', '1997-07-01', '1997-10-01', '1998-01-01', '1998-04-01', '1998-07-01', '1998-10-01', '1999-01-01', '1999-04-01', '1999-07-01', '1999-10-01', '2000-01-01', '2000-04-01', '2000-07-01', '2000-10-01', '2001-01-01', '2001-04-01', '2001-07-01', '2001-10-01', '2002-01-01', '2002-04-01', '2002-07-01', '2002-10-01', '2003-01-01', '2003-04-01', '2003-07-01', '2003-10-01', '2004-01-01', '2004-04-01', '2004-07-01', '2004-10-01', '2005-01-01', '2005-04-01', '2005-07-01', '2005-10-01', '2006-01-01', '2006-04-01', '2006-07-01', '2006-10-01', '2007-01-01', '2007-04-01', '2007-07-01', '2007-10-01', '2008-01-01', '2008-04-01', '2008-07-01', '2008-10-01', '2009-01-01', '2009-04-01', '2009-07-01', '2009-10-01', '2010-01-01', '2010-04-01', '2010-07-01', '2010-10-01')))","as.Date(as.Date(c('1995-01-01', '1995-04-01', '1995-07-01', '1995-10-01', '1996-01-01', '1996-04-01', '1996-07-01', '1996-10-01', '1997-01-01', '1997-04-01', '1997-07-01', '1997-10-01', '1998-01-01', '1998-04-01', '1998-07-01', '1998-10-01', '1999-01-01', '1999-04-01', '1999-07-01', '1999-10-01', '2000-01-01', '2000-04-01', '2000-07-01', '2000-10-01', '2001-01-01', '2001-04-01', '2001-07-01', '2001-10-01', '2002-01-01', '2002-04-01', '2002-07-01', '2002-10-01', '2003-01-01', '2003-04-01', '2003-07-01', '2003-10-01', '2004-01-01', '2004-04-01', '2004-07-01', '2004-10-01', '2005-01-01', '2005-04-01', '2005-07-01', '2005-10-01', '2006-01-01', '2006-04-01', '2006-07-01', '2006-10-01', '2007-01-01', '2007-04-01', '2007-07-01', '2007-10-01', '2008-01-01', '2008-04-01', '2008-07-01', '2008-10-01', '2009-01-01', '2009-04-01', '2009-07-01', '2009-10-01', '2010-01-01', '2010-04-01', '2010-07-01', '2010-10-01')))",NA,T,,1,,,,,,,,,varchar(10),,-,,,
admisorcRecoded,Admin.,Admission,Source,NA,NA,,FALSE,NA,NA,0,NA,numeric,nominal,F,,,,T,,,1,,,,,,,,int(1),0,-,,,
admisorcRecoded_care_freq,Admin.,Admission,Source,NA,NA,,FALSE,NA,NA,0,NA,numeric,ordinal,T,NA,NA,NA,T,,,,1,1,1,1,,,,int(11),0,-,,,
admisorcRecoded_mixCareResidential_freq,Admin.,Admission,Source,NA,NA,,FALSE,NA,NA,0,NA,numeric,ordinal,T,NA,NA,NA,T,,,,1,1,1,1,,,,int(11),0,-,,,
admisorcRecoded_other_freq,Admin.,Admission,Source,NA,NA,admisorcRecoded_other_freq__90days,TRUE,-,NA,0,NA,numeric,ordinal,T,NA,NA,NA,T,,,,1,1,1,1,,,,int(11),0,-,5.39E-05,0.0000539,1.07%
admisorcRecoded_other_freq,Admin.,Admission,Source,NA,NA,admisorcRecoded_other_freq__365days,TRUE,-,NA,0,NA,numeric,ordinal,T,NA,NA,NA,T,,,,1,1,1,1,,,,int(11),0,-,3.97E-05,0.0000397,0.79%
admisorcRecoded_other_freq,Admin.,Admission,Source,NA,NA,admisorcRecoded_other_freq,TRUE,-,NA,0,NA,numeric,ordinal,T,NA,NA,NA,T,,,,1,1,1,1,,,,int(11),0,-,3.90E-05,0.000039,0.78%
admisorcRecoded_residential_freq,Admin.,Admission,Source,NA,NA,admisorcRecoded_residential_freq,TRUE,-,NA,0,NA,numeric,ordinal,T,NA,NA,NA,T,,,,1,1,1,1,,,,int(11),0,-,9.81E-04,0.000981,19.50%
admisorcRecoded_residential_freq,Admin.,Admission,Source,NA,NA,admisorcRecoded_residential_freq__90days,TRUE,-,NA,0,NA,numeric,ordinal,T,NA,NA,NA,T,,,,1,1,1,1,,,,int(11),0,-,6.88E-04,0.000688,13.68%
admisorcRecoded_residential_freq,Admin.,Admission,Source,NA,NA,admisorcRecoded_residential_freq__365days,TRUE,-,NA,0,NA,numeric,ordinal,T,NA,NA,NA,T,,,,1,1,1,1,,,,int(11),0,-,4.26E-04,0.000426,8.47%
bedDays,Admin.,Bed Days,General,NA,NA,,FALSE,NA,NA,0,NA,numeric,ordinal,T,NA,NA,NA,T,,,1,,,,,,,,int(11),-1,-,,,
charlsonIndex_avg,Clinical,Diagnosis,CCI,NA,NA,charlsonIndex_avg,FALSE,-,NA,0,NA,numeric,interval,T,NA,NA,NA,T,,,,1,,,,,,,double(114),0,-,4.26E-04,0.000426,8.47%
charlsonIndex_max,Clinical,Diagnosis,CCI,NA,NA,charlsonIndex_max__90days,TRUE,-,NA,0,NA,numeric,ordinal,T,NA,NA,NA,T,,,,,1,1,1,,,,int(11),0,-,3.45E-04,0.000345,6.86%
charlsonIndex_max,Clinical,Diagnosis,CCI,NA,NA,charlsonIndex_max__trigger,TRUE,-,NA,0,NA,numeric,ordinal,T,NA,NA,NA,T,,,,,1,1,1,,,,int(11),0,-,2.73E-04,0.000273,5.43%
